"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"35-3027-1",35,3027,0,1,"Euphausia triacantha","hydrogenTotal","77.72","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:236220","Euphausia triacantha Holt & Tattersall, 1906","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausiid","literature",NA,"P. Pata","2023-06-28",1,"Euphausia triacantha","Htotal_Mean","77.72","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-5217-1",35,5217,0,1,"Ihlea racovitzai","hydrogenTotal","5.88","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:266542","Ihlea racovitzai (Van Beneden & De Selys Longchamp, 1913)","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Ihlea","Thaliacean","literature",NA,"P. Pata","2023-06-28",1,"Ihlea racovitzai","Htotal_Mean","5.88","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"35-5237-1",35,5237,0,1,"Salpa thompsoni","hydrogenTotal","2.04","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic",NA,NA,"austral summer","OmoriIkeda1984",NA,NA,NA,"urn:lsid:marinespecies.org:taxname:266545","Salpa thompsoni Foxton, 1961","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Salpa","Thaliacean","literature",NA,"P. Pata","2023-06-28",1,"Salpa thompsoni","Htotal_Mean","2.04","mg",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2725-1",50,2725,0,1,"Chionoecetes bairdi","ashPWW","0.4","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:368558","Chionoecetes bairdi Rathbun, 1924","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Chionoecetes bairdi","ash_pww_Mean","0.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2954-1",50,2954,0,1,"Plesionika martia","ashPWW","1.01","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107661","Plesionika martia (A. Milne-Edwards, 1883)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Plesionika","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Plesionika martia","ash_pww_Mean","1.01","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2820-1",50,2820,0,1,"Linuparus somniosus","ashPWW","1.05","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:210644","Linuparus somniosus Berry & George, 1972","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Linuparus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Linuparus somniosus","ash_pww_Mean","1.05","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2932-1",50,2932,0,1,"Penaeus vannamei","ashPWW","1.2","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:377748","Penaeus vannamei Boone, 1931","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Litopenaeus vannamei","ash_pww_Mean","1.2","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-4987-1",50,4987,0,1,"Stomolophus meleagris","ashPWW","1.25","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Hsieh2001","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:291140","Stomolophus meleagris Agassiz, 1860","Species","Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Stomolophidae","Stomolophus","Scyphomedusae","literature",NA,"P. Pata","2023-06-28",1,"Stomolophus meleagris","ash_pww_Mean","1.25","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2980-1",50,2980,0,1,"Scylla serrata","ashPWW","1.4","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:208814","Scylla serrata (Forskål, 1775)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Scylla","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Scylla serrata","ash_pww_Mean","1.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2912-1",50,2912,0,1,"Parapenaeus longirostris","ashPWW","1.6","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107109","Parapenaeus longirostris (Lucas, 1846)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Parapenaeus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Parapenaeus longirostris","ash_pww_Mean","1.6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2839-1",50,2839,0,1,"Metacarcinus magister","ashPWW","1.6","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:440388","Metacarcinus magister (Dana, 1852)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Metacarcinus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Cancer magister","ash_pww_Mean","1.6","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2722-1",50,2722,0,1,"Chaceon quinquedens","ashPWW","1.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:158407","Chaceon quinquedens (Smith, 1879)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Chaceon","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Geryon quinquedens ","ash_pww_Mean","1.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2802-1",50,2802,0,1,"Homarus gammarus","ashPWW","1.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107253","Homarus gammarus (Linnaeus, 1758)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Homarus gammarus","ash_pww_Mean","1.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2801-1",50,2801,0,1,"Homarus americanus","ashPWW","1.8","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:156134","Homarus americanus H. Milne Edwards, 1837","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Homarus americanus","ash_pww_Mean","1.8","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2930-1",50,2930,0,1,"Penaeus penicillatus","ashPWW","1.86","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:210373","Penaeus penicillatus Alcock, 1905","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Fenneropenaeus penicillatus","ash_pww_Mean","1.86","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2901-1",50,2901,0,1,"Pandalus jordani","ashPWW","1.9","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:515469","Pandalus jordani Rathbun, 1902","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pandalus jordani","ash_pww_Mean","1.9","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-3246-1",50,3246,0,1,"Hybocodon prolifer","ashPWW","2.2848","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117988","Hybocodon prolifer Agassiz, 1860","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Tubulariidae","Hybocodon","Hydromedusae","literature",NA,"P. Pata","2023-06-28",1,"Hybocodon prolifer","ash_pww_Mean","2.2848","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-3237-1",50,3237,0,1,"Halitholus cirratus","ashPWW","2.2962","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:157951","Halitholus cirratus Hartlaub, 1913","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Halitholus","Hydromedusae","literature",NA,"P. Pata","2023-06-28",1,"Halitholus cirratus","ash_pww_Mean","2.2962","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2931-1",50,2931,0,1,"Penaeus stylirostris","ashPWW","2.3","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Santhanam2014","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:584982","Penaeus stylirostris Stimpson, 1871","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Litopenaeus stylirostris ","ash_pww_Mean","2.3","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-3117-1",50,3117,0,1,"Bougainvillia superciliaris","ashPWW","2.3562","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117333","Bougainvillia superciliaris (L. Agassiz, 1849)","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia","Hydromedusae","literature",NA,"P. Pata","2023-06-28",1,"Boungainvillia superciliaris","ash_pww_Mean","2.3562","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-3079-1",50,3079,0,1,"Aglantha digitale","ashPWW","2.5124","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117849","Aglantha digitale (O. F. Müller, 1776)","Species","Animalia","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae","Aglantha","Hydromedusae","literature",NA,"P. Pata","2023-06-28",1,"Aglantha digitale","ash_pww_Mean","2.5124","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-3394-1",50,3394,0,1,"Sarsia princeps","ashPWW","2.7192","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Percy1981","MachovskyCapuska2020","10.14430/arctic2533","10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:117487","Sarsia princeps (Haeckel, 1879)","Species","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","Sarsia","Hydromedusae","literature",NA,"P. Pata","2023-06-28",1,"Sarsia princeps","ash_pww_Mean","2.7192","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2888-1",50,2888,0,1,"Palaemon longirostris","ashPWW","2.9","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107615","Palaemon longirostris H. Milne Edwards, 1837","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Palaeomon longirostris","ash_pww_Mean","2.9","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"50-2922-1",50,2922,0,1,"Pasiphaea sivado","ashPWW","3.4","percent","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Spitz2010","MachovskyCapuska2020",NA,"10.1146/annurev-marine-010318-095411","urn:lsid:marinespecies.org:taxname:107677","Pasiphaea sivado (Risso, 1816)","Species","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Decapod","literature",NA,"P. Pata","2023-06-28",1,"Pasiphaea sivado","ash_pww_Mean","3.4","percent",NA,NA,NA,FALSE,FALSE,NA,NA,NA
